0;22:22:22:22:22:22;2015-09-26 00:26:20
1;22:22:22:22:22:22;2015-09-26 00:26:21
0;22:22:22:22:22:22;2015-09-26 00:47:59
1;22:22:22:22:22:22;2015-09-26 13:49:41
0;22:22:22:22:22:22;2015-09-26 14:08:14
0;22:22:22:22:22:22;2015-09-26 00:26:20
1;22:22:22:22:22:22;2015-09-26 00:26:21
0;22:22:22:22:22:22;2015-09-26 00:47:59
1;22:22:22:22:22:22;2015-09-26 13:49:41
0;22:22:22:22:22:22;2015-09-26 14:08:14
0;22:22:22:22:22:22;2015-09-26 00:26:20
1;22:22:22:22:22:22;2015-09-26 00:26:21
0;22:22:22:22:22:22;2015-09-26 00:47:59
1;22:22:22:22:22:22;2015-09-26 13:49:41
0;22:22:22:22:22:22;2015-09-26 14:08:14
0;22:22:22:22:22:22;2015-09-26 00:26:20
1;22:22:22:22:22:22;2015-09-26 00:26:21
0;22:22:22:22:22:22;2015-09-26 00:47:59
1;22:22:22:22:22:22;2015-09-26 13:49:41
0;22:22:22:22:22:22;2015-09-26 14:08:14
1;22:22:22:22:22:22;2015-09-26 14:47:33
0;22:22:22:22:22:22;2015-09-26 00:26:20
1;22:22:22:22:22:22;2015-09-26 00:26:21
0;22:22:22:22:22:22;2015-09-26 00:47:59
1;22:22:22:22:22:22;2015-09-26 13:49:41
0;22:22:22:22:22:22;2015-09-26 14:08:14
1;22:22:22:22:22:22;2015-09-26 14:47:33
0;22:22:22:22:22:22;2015-09-26 00:26:20
1;22:22:22:22:22:22;2015-09-26 00:26:21
0;22:22:22:22:22:22;2015-09-26 00:47:59
1;22:22:22:22:22:22;2015-09-26 13:49:41
0;22:22:22:22:22:22;2015-09-26 14:08:14
1;22:22:22:22:22:22;2015-09-26 14:47:33
0;22:22:22:22:22:22;2015-09-26 15:09:08
0;22:22:22:22:22:22;2015-09-26 00:26:20
1;22:22:22:22:22:22;2015-09-26 00:26:21
0;22:22:22:22:22:22;2015-09-26 00:47:59
1;22:22:22:22:22:22;2015-09-26 13:49:41
0;22:22:22:22:22:22;2015-09-26 14:08:14
1;22:22:22:22:22:22;2015-09-26 14:47:33
0;22:22:22:22:22:22;2015-09-26 15:09:08
0;22:22:22:22:22:22;2015-09-26 00:26:20
1;22:22:22:22:22:22;2015-09-26 00:26:21
0;22:22:22:22:22:22;2015-09-26 00:47:59
1;22:22:22:22:22:22;2015-09-26 13:49:41
0;22:22:22:22:22:22;2015-09-26 14:08:14
1;22:22:22:22:22:22;2015-09-26 14:47:33
0;22:22:22:22:22:22;2015-09-26 15:09:08
0;22:22:22:22:22:22;2015-09-26 00:26:20
1;22:22:22:22:22:22;2015-09-26 00:26:21
0;22:22:22:22:22:22;2015-09-26 00:47:59
1;22:22:22:22:22:22;2015-09-26 13:49:41
0;22:22:22:22:22:22;2015-09-26 14:08:14
1;22:22:22:22:22:22;2015-09-26 14:47:33
